pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,profit_margin_percent,economically_viable
100000,0.005,Normal,Fast,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.005,Normal,Moderate,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.005,Normal,Slow,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.005,Panic,Fast,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.005,Panic,Moderate,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.005,Panic,Slow,0.0,500.0,501.6513698630137,0,-501.6513698630137,-100.33027397260274,-100,False
100000,0.01,Normal,Fast,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.01,Normal,Moderate,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.01,Normal,Slow,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.01,Panic,Fast,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.01,Panic,Moderate,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.01,Panic,Slow,0.0,1000.0,1003.3041095890411,0,-1003.3041095890411,-100.33041095890411,-100,False
100000,0.025,Normal,Fast,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.025,Normal,Moderate,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.025,Normal,Slow,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.025,Panic,Fast,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.025,Panic,Moderate,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.025,Panic,Slow,0.0,2500.0,2508.2705479452056,0,-2508.2705479452056,-100.33082191780822,-100,False
100000,0.05,Normal,Fast,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.05,Normal,Moderate,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.05,Normal,Slow,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.05,Panic,Fast,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.05,Panic,Moderate,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.05,Panic,Slow,0.0,5000.0,5016.575342465753,0,-5016.575342465753,-100.33150684931506,-100,False
100000,0.1,Normal,Fast,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
100000,0.1,Normal,Moderate,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
100000,0.1,Normal,Slow,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
100000,0.1,Panic,Fast,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
100000,0.1,Panic,Moderate,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
100000,0.1,Panic,Slow,0.0,10000.0,10033.287671232878,0,-10033.287671232878,-100.33287671232878,-100,False
1000000,0.005,Normal,Fast,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
1000000,0.005,Normal,Moderate,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
1000000,0.005,Normal,Slow,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
1000000,0.005,Panic,Fast,0.0,5000.0,5016.513698630137,0,-5016.513698630137,-100.33027397260274,-100,False
