pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob
100000,0.005,Normal,Fast,0.10647975785640068
100000,0.005,Normal,Moderate,0.12640900551035456
100000,0.005,Normal,Slow,0.1597417378547351
100000,0.005,Panic,Fast,0.09771442351084564
100000,0.005,Panic,Moderate,0.0
100000,0.005,Panic,Slow,0.13595459993172715
100000,0.01,Normal,Fast,0.0
100000,0.01,Normal,Moderate,0.11271704138292997
100000,0.01,Normal,Slow,0.18691221764474908
100000,0.01,Panic,Fast,0.0
100000,0.01,Panic,Moderate,0.13365765495544274
100000,0.01,Panic,Slow,0.03347371099254487
100000,0.025,Normal,Fast,0.0
100000,0.025,Normal,Moderate,0.07554310007601803
100000,0.025,Normal,Slow,0.0
100000,0.025,Panic,Fast,0.19027770163619634
100000,0.025,Panic,Moderate,0.20945655149622397
100000,0.025,Panic,Slow,0.10353949837055682
100000,0.05,Normal,Fast,0.24134593203395205
100000,0.05,Normal,Moderate,0.04205694518423177
100000,0.05,Normal,Slow,0.1461415076089553
100000,0.05,Panic,Fast,0.14886883165880718
100000,0.05,Panic,Moderate,0.0
100000,0.05,Panic,Slow,0.05933987969738019
100000,0.1,Normal,Fast,0.0
100000,0.1,Normal,Moderate,0.16954313651177758
100000,0.1,Normal,Slow,0.2776883295202727
100000,0.1,Panic,Fast,0.13735822260779895
100000,0.1,Panic,Moderate,0.32652341349330183
100000,0.1,Panic,Slow,0.25439475482560353
1000000,0.005,Normal,Fast,0.045676014714626866
1000000,0.005,Normal,Moderate,0.09325341773334637
1000000,0.005,Normal,Slow,0.09481793544959363
1000000,0.005,Panic,Fast,0.0639829996458524
1000000,0.005,Panic,Moderate,0.14557318660772633
1000000,0.005,Panic,Slow,0.0
1000000,0.01,Normal,Fast,0.0
1000000,0.01,Normal,Moderate,0.022857263673889343
1000000,0.01,Normal,Slow,0.0
1000000,0.01,Panic,Fast,0.10195913115125335
1000000,0.01,Panic,Moderate,0.0
1000000,0.01,Panic,Slow,0.22768002160365952
1000000,0.025,Normal,Fast,0.0
1000000,0.025,Normal,Moderate,0.12347874928408721
1000000,0.025,Normal,Slow,0.0
1000000,0.025,Panic,Fast,0.07410203833545387
1000000,0.025,Panic,Moderate,0.004037753104375347
1000000,0.025,Panic,Slow,0.0
1000000,0.05,Normal,Fast,0.0
1000000,0.05,Normal,Moderate,0.07591456099782858
1000000,0.05,Normal,Slow,0.29716389430299495
1000000,0.05,Panic,Fast,0.0483118823284485
1000000,0.05,Panic,Moderate,0.37336751087134123
1000000,0.05,Panic,Slow,0.22832236478556064
1000000,0.1,Normal,Fast,0.09568135685904439
1000000,0.1,Normal,Moderate,0.4127318329504528
1000000,0.1,Normal,Slow,0.1690805538115091
1000000,0.1,Panic,Fast,0.11019144295653434
1000000,0.1,Panic,Moderate,0.3880705021052545
1000000,0.1,Panic,Slow,0.4337500381145048
5000000,0.005,Normal,Fast,0.0
5000000,0.005,Normal,Moderate,0.0
5000000,0.005,Normal,Slow,0.013487187548170179
5000000,0.005,Panic,Fast,0.0
5000000,0.005,Panic,Moderate,0.04927179690588528
5000000,0.005,Panic,Slow,0.07634508219041243
5000000,0.01,Normal,Fast,0.0
5000000,0.01,Normal,Moderate,0.03651144064219296
5000000,0.01,Normal,Slow,0.0
5000000,0.01,Panic,Fast,0.17156965028332424
5000000,0.01,Panic,Moderate,0.0
5000000,0.01,Panic,Slow,0.09275017375896286
5000000,0.025,Normal,Fast,0.15636636876849222
5000000,0.025,Normal,Moderate,0.08844376696402623
5000000,0.025,Normal,Slow,0.0
5000000,0.025,Panic,Fast,0.08340106673890485
5000000,0.025,Panic,Moderate,0.03566427030331185
5000000,0.025,Panic,Slow,0.18171019047324605
5000000,0.05,Normal,Fast,0.0
5000000,0.05,Normal,Moderate,0.0
5000000,0.05,Normal,Slow,0.2122429064964968
5000000,0.05,Panic,Fast,0.06681271008158214
5000000,0.05,Panic,Moderate,0.2129006559438476
5000000,0.05,Panic,Slow,0.2221704309014569
5000000,0.1,Normal,Fast,0.23265662662954115
5000000,0.1,Normal,Moderate,0.22034738960106362
5000000,0.1,Normal,Slow,0.12039943184189777
5000000,0.1,Panic,Fast,0.2755899350180601
5000000,0.1,Panic,Moderate,0.37949489481046544
5000000,0.1,Panic,Slow,0.22716991019013139
10000000,0.005,Normal,Fast,0.003399933274171067
10000000,0.005,Normal,Moderate,0.0
10000000,0.005,Normal,Slow,0.0
10000000,0.005,Panic,Fast,0.01743211274999483
10000000,0.005,Panic,Moderate,0.12308146386722224
10000000,0.005,Panic,Slow,0.06420642086352021
10000000,0.01,Normal,Fast,0.14401556294865842
10000000,0.01,Normal,Moderate,0.08417296296049945
10000000,0.01,Normal,Slow,0.08029931965493887
10000000,0.01,Panic,Fast,0.014405153796279532
10000000,0.01,Panic,Moderate,0.0
10000000,0.01,Panic,Slow,0.0490677704797956
10000000,0.025,Normal,Fast,0.022418286737690918
10000000,0.025,Normal,Moderate,0.062241881214919824
10000000,0.025,Normal,Slow,0.0781602076726028
10000000,0.025,Panic,Fast,0.02438700494933009
10000000,0.025,Panic,Moderate,0.0920316105468376
10000000,0.025,Panic,Slow,0.17279341137665039
10000000,0.05,Normal,Fast,0.029037488948694387
10000000,0.05,Normal,Moderate,0.04202577917041228
10000000,0.05,Normal,Slow,0.18835013187956848
10000000,0.05,Panic,Fast,0.01538081196669494
10000000,0.05,Panic,Moderate,0.2702850618198304
10000000,0.05,Panic,Slow,0.23349905944572763
10000000,0.1,Normal,Fast,0.157270840666487
10000000,0.1,Normal,Moderate,0.1188916303972757
10000000,0.1,Normal,Slow,0.23020599521833252
10000000,0.1,Panic,Fast,0.2650505166017385
10000000,0.1,Panic,Moderate,0.4623576870620662
10000000,0.1,Panic,Slow,0.14386886078143196
