pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob
100000,0.005,Normal,Fast,0.0
100000,0.005,Normal,Moderate,0.0
100000,0.005,Normal,Slow,0.0
100000,0.005,Panic,Fast,0.0
100000,0.005,Panic,Moderate,0.0
100000,0.005,Panic,Slow,0.0
100000,0.01,Normal,Fast,0.0
100000,0.01,Normal,Moderate,0.0
100000,0.01,Normal,Slow,0.0
100000,0.01,Panic,Fast,0.0
100000,0.01,Panic,Moderate,0.0
100000,0.01,Panic,Slow,0.0
100000,0.025,Normal,Fast,0.0
100000,0.025,Normal,Moderate,0.0
100000,0.025,Normal,Slow,0.0
100000,0.025,Panic,Fast,0.0
100000,0.025,Panic,Moderate,0.0
100000,0.025,Panic,Slow,0.0
100000,0.05,Normal,Fast,0.0
100000,0.05,Normal,Moderate,0.0
100000,0.05,Normal,Slow,0.0
100000,0.05,Panic,Fast,0.0
100000,0.05,Panic,Moderate,0.0
100000,0.05,Panic,Slow,0.0
100000,0.1,Normal,Fast,0.0
100000,0.1,Normal,Moderate,0.0
100000,0.1,Normal,Slow,0.0
100000,0.1,Panic,Fast,0.0
100000,0.1,Panic,Moderate,0.0
100000,0.1,Panic,Slow,0.0
1000000,0.005,Normal,Fast,0.0
1000000,0.005,Normal,Moderate,0.0
1000000,0.005,Normal,Slow,0.0
1000000,0.005,Panic,Fast,0.0
1000000,0.005,Panic,Moderate,0.0
1000000,0.005,Panic,Slow,0.0
1000000,0.01,Normal,Fast,0.0
1000000,0.01,Normal,Moderate,0.0
1000000,0.01,Normal,Slow,0.0
1000000,0.01,Panic,Fast,0.0
1000000,0.01,Panic,Moderate,0.0
1000000,0.01,Panic,Slow,0.0
1000000,0.025,Normal,Fast,0.0
1000000,0.025,Normal,Moderate,0.0
1000000,0.025,Normal,Slow,0.0
1000000,0.025,Panic,Fast,0.0
1000000,0.025,Panic,Moderate,0.0
1000000,0.025,Panic,Slow,0.0
1000000,0.05,Normal,Fast,0.0
1000000,0.05,Normal,Moderate,0.0
1000000,0.05,Normal,Slow,0.0
1000000,0.05,Panic,Fast,0.0
1000000,0.05,Panic,Moderate,0.0
1000000,0.05,Panic,Slow,0.0
1000000,0.1,Normal,Fast,0.0
1000000,0.1,Normal,Moderate,0.0
1000000,0.1,Normal,Slow,0.0
1000000,0.1,Panic,Fast,0.0
1000000,0.1,Panic,Moderate,0.0
1000000,0.1,Panic,Slow,0.0
5000000,0.005,Normal,Fast,0.0
5000000,0.005,Normal,Moderate,0.0
5000000,0.005,Normal,Slow,0.0
5000000,0.005,Panic,Fast,0.0
5000000,0.005,Panic,Moderate,0.0
5000000,0.005,Panic,Slow,0.0
5000000,0.01,Normal,Fast,0.0
5000000,0.01,Normal,Moderate,0.0
5000000,0.01,Normal,Slow,0.0
5000000,0.01,Panic,Fast,0.0
5000000,0.01,Panic,Moderate,0.0
5000000,0.01,Panic,Slow,0.0
5000000,0.025,Normal,Fast,0.0
5000000,0.025,Normal,Moderate,0.0
5000000,0.025,Normal,Slow,0.0
5000000,0.025,Panic,Fast,0.0
5000000,0.025,Panic,Moderate,0.0
5000000,0.025,Panic,Slow,0.0
5000000,0.05,Normal,Fast,0.0
5000000,0.05,Normal,Moderate,0.0
5000000,0.05,Normal,Slow,0.0
5000000,0.05,Panic,Fast,0.0
5000000,0.05,Panic,Moderate,0.0
5000000,0.05,Panic,Slow,0.0
5000000,0.1,Normal,Fast,0.0
5000000,0.1,Normal,Moderate,0.0
5000000,0.1,Normal,Slow,0.0
5000000,0.1,Panic,Fast,0.0
5000000,0.1,Panic,Moderate,0.0
5000000,0.1,Panic,Slow,0.0
10000000,0.005,Normal,Fast,0.0
10000000,0.005,Normal,Moderate,0.0
10000000,0.005,Normal,Slow,0.0
10000000,0.005,Panic,Fast,0.0
10000000,0.005,Panic,Moderate,0.0
10000000,0.005,Panic,Slow,0.0
10000000,0.01,Normal,Fast,0.0
10000000,0.01,Normal,Moderate,0.0
10000000,0.01,Normal,Slow,0.0
10000000,0.01,Panic,Fast,0.0
10000000,0.01,Panic,Moderate,0.0
10000000,0.01,Panic,Slow,0.0
10000000,0.025,Normal,Fast,0.0
10000000,0.025,Normal,Moderate,0.0
10000000,0.025,Normal,Slow,0.0
10000000,0.025,Panic,Fast,0.0
10000000,0.025,Panic,Moderate,0.0
10000000,0.025,Panic,Slow,0.0
10000000,0.05,Normal,Fast,0.0
10000000,0.05,Normal,Moderate,0.0
10000000,0.05,Normal,Slow,0.0
10000000,0.05,Panic,Fast,0.0
10000000,0.05,Panic,Moderate,0.0
10000000,0.05,Panic,Slow,0.0
10000000,0.1,Normal,Fast,0.0
10000000,0.1,Normal,Moderate,0.0
10000000,0.1,Normal,Slow,0.0
10000000,0.1,Panic,Fast,0.0
10000000,0.1,Panic,Moderate,0.0
10000000,0.1,Panic,Slow,0.0
