pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,economically_viable,profit_breakdown
100000,0.005,Normal,Fast,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.005,Normal,Moderate,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.005,Normal,Slow,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.005,Panic,Fast,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.005,Panic,Moderate,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.005,Panic,Slow,0.0,45.0,45.45,0,-45.45,-101.0,False,{}
100000,0.01,Normal,Fast,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.01,Normal,Moderate,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.01,Normal,Slow,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.01,Panic,Fast,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.01,Panic,Moderate,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.01,Panic,Slow,0.0,90.0,90.9,0,-90.9,-101.0,False,{}
100000,0.025,Normal,Fast,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.025,Normal,Moderate,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.025,Normal,Slow,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.025,Panic,Fast,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.025,Panic,Moderate,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.025,Panic,Slow,0.0,225.0,227.25,0,-227.25,-101.0,False,{}
100000,0.05,Normal,Fast,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.05,Normal,Moderate,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.05,Normal,Slow,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.05,Panic,Fast,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.05,Panic,Moderate,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.05,Panic,Slow,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
100000,0.1,Normal,Fast,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
100000,0.1,Normal,Moderate,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
100000,0.1,Normal,Slow,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
100000,0.1,Panic,Fast,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
100000,0.1,Panic,Moderate,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
100000,0.1,Panic,Slow,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.005,Normal,Fast,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.005,Normal,Moderate,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.005,Normal,Slow,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.005,Panic,Fast,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.005,Panic,Moderate,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.005,Panic,Slow,0.0,450.0,454.5,0,-454.5,-101.0,False,{}
1000000,0.01,Normal,Fast,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.01,Normal,Moderate,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.01,Normal,Slow,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.01,Panic,Fast,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.01,Panic,Moderate,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.01,Panic,Slow,0.0,900.0,909.0,0,-909.0,-101.0,False,{}
1000000,0.025,Normal,Fast,0.0,2250.0,2272.5,0,-2272.5,-101.0,False,{}
1000000,0.025,Normal,Moderate,0.0,2250.0,2272.5,0,-2272.5,-101.0,False,{}
1000000,0.025,Normal,Slow,0.0,2250.0,2272.5,0,-2272.5,-101.0,False,{}
