pool_depth,delta_s_frac,user_regime,arb_mode,breach_prob,capital_required,total_cost,expected_profit,net_profit,roi_percent,economically_viable,profit_breakdown
100000,0.005,Normal,Fast,0.0,45.0,45.45,0.0,-45.45,-101.0,False,{}
100000,0.005,Normal,Moderate,0.0,45.0,45.45,0.0,-45.45,-101.0,False,{}
100000,0.005,Normal,Slow,0.0,45.0,45.45,0.0,-45.45,-101.0,False,{}
100000,0.005,Panic,Fast,0.0,45.0,45.45,0.0,-45.45,-101.0,False,{}
100000,0.005,Panic,Moderate,0.2,45.0,45.45,359.7,314.25,698.3333333333334,True,"{'flash_arbitrage': 7.0, 'options_profit': 25.0, 'leveraged_short': 7.5, 'cross_platform_arb': 120.0, 'mev_extraction': 0.2, 'lp_manipulation': 200.0}"
100000,0.005,Panic,Slow,0.9,45.0,45.45,1618.65,1573.2,3496.0,True,"{'flash_arbitrage': 31.5, 'options_profit': 112.5, 'leveraged_short': 33.75, 'cross_platform_arb': 540.0, 'mev_extraction': 0.9, 'lp_manipulation': 900.0}"
100000,0.01,Normal,Fast,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Normal,Moderate,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Normal,Slow,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Panic,Fast,0.0,90.0,90.9,0.0,-90.9,-101.0,False,{}
100000,0.01,Panic,Moderate,0.4,90.0,90.9,798.8,707.9,786.5555555555555,True,"{'flash_arbitrage': 28.0, 'options_profit': 100.0, 'leveraged_short': 30.0, 'cross_platform_arb': 240.0, 'mev_extraction': 0.8, 'lp_manipulation': 400.0}"
100000,0.01,Panic,Slow,0.9,90.0,90.9,1797.3,1706.3999999999999,1895.9999999999998,True,"{'flash_arbitrage': 63.0, 'options_profit': 225.0, 'leveraged_short': 67.5, 'cross_platform_arb': 540.0, 'mev_extraction': 1.8, 'lp_manipulation': 900.0}"
100000,0.025,Normal,Fast,0.0,225.0,227.25,0.0,-227.25,-101.0,False,{}
100000,0.025,Normal,Moderate,0.0,225.0,227.25,0.0,-227.25,-101.0,False,{}
100000,0.025,Normal,Slow,0.2,225.0,227.25,518.5,291.25,129.44444444444446,True,"{'flash_arbitrage': 35.0, 'options_profit': 125.0, 'leveraged_short': 37.5, 'cross_platform_arb': 120.0, 'mev_extraction': 1.0, 'lp_manipulation': 200.0}"
100000,0.025,Panic,Fast,0.0,225.0,227.25,0.0,-227.25,-101.0,False,{}
100000,0.025,Panic,Moderate,0.5,225.0,227.25,1296.25,1069.0,475.11111111111114,True,"{'flash_arbitrage': 87.5, 'options_profit': 312.5, 'leveraged_short': 93.75, 'cross_platform_arb': 300.0, 'mev_extraction': 2.5, 'lp_manipulation': 500.0}"
100000,0.025,Panic,Slow,0.9,225.0,227.25,2333.25,2106.0,936.0,True,"{'flash_arbitrage': 157.5, 'options_profit': 562.5, 'leveraged_short': 168.75, 'cross_platform_arb': 540.0, 'mev_extraction': 4.5, 'lp_manipulation': 900.0}"
100000,0.05,Normal,Fast,0.0,450.0,454.5,0.0,-454.5,-101.0,False,{}
