pool_depth,attack_size_frac,user_regime,arbitrage_mode,peg_failure_mean,peg_failure_std,profit_mean,profit_std,profit_min,profit_max,min_price_mean,min_price_std,max_price_drop_mean,max_price_drop_std
100000,0.005,Normal,Fast,0.0,0.0,497.7146,1.0207,496.0076,499.8149,0.9925,0.0019,0.0075,0.0019
100000,0.005,Normal,Moderate,0.0,0.0,497.4176,0.8081,495.0197,498.5282,0.9928,0.0033,0.0072,0.0033
100000,0.005,Normal,Slow,0.1667,0.379,497.3592,3.2279,490.9964,507.2159,0.9857,0.0058,0.0143,0.0058
100000,0.005,Panic,Fast,0.1667,0.379,499.8877,20.897,465.7281,543.8847,0.8865,0.0327,0.1135,0.0327
100000,0.005,Panic,Moderate,0.4667,0.5074,498.8501,14.817,458.9282,523.6604,0.9207,0.0276,0.0793,0.0276
100000,0.005,Panic,Slow,0.6,0.4983,564.6078,95.1644,453.5619,939.6285,0.9311,0.0477,0.0689,0.0477
100000,0.01,Normal,Fast,0.0,0.0,990.5004,2.0262,987.1116,994.6698,0.9869,0.0023,0.0131,0.0023
100000,0.01,Normal,Moderate,0.0333,0.1826,989.9108,1.6042,985.1505,992.1156,0.9883,0.0079,0.0117,0.0079
100000,0.01,Normal,Slow,0.3333,0.4795,989.7947,6.408,977.1632,1009.3616,0.9775,0.0074,0.0225,0.0074
100000,0.01,Panic,Fast,0.2,0.4068,994.8112,41.4828,926.9937,1082.1408,0.8864,0.0326,0.1136,0.0326
100000,0.01,Panic,Moderate,0.4667,0.5074,992.7529,29.4154,913.4911,1042.0025,0.9208,0.0276,0.0792,0.0276
100000,0.01,Panic,Slow,0.6,0.4983,1123.2056,188.7122,902.8346,1866.5072,0.9296,0.0482,0.0704,0.0482
100000,0.025,Normal,Fast,0.0,0.0,2440.0059,4.955,2431.7186,2450.2019,0.9685,0.0022,0.0315,0.0022
100000,0.025,Normal,Moderate,0.1,0.3051,2438.564,3.9232,2426.9225,2443.9558,0.9749,0.0222,0.0251,0.0222
100000,0.025,Normal,Slow,0.9,0.3051,2438.2797,15.6703,2407.3879,2486.1256,0.9512,0.0112,0.0488,0.0112
100000,0.025,Panic,Fast,0.1333,0.3457,2450.5254,101.4329,2284.6478,2663.999,0.8851,0.0322,0.1149,0.0322
100000,0.025,Panic,Moderate,0.5,0.5085,2445.503,71.9407,2251.6015,2565.9174,0.9199,0.0262,0.0801,0.0262
100000,0.025,Panic,Slow,0.6,0.4983,2763.8904,460.0186,2225.5174,4573.1875,0.9239,0.0503,0.0761,0.0503
100000,0.05,Normal,Fast,0.0,0.0,4763.7984,9.5603,4747.8084,4783.47,0.9392,0.0022,0.0608,0.0022
100000,0.05,Normal,Moderate,0.1,0.3051,4761.0163,7.5697,4738.5541,4771.4193,0.9538,0.0446,0.0462,0.0446
100000,0.05,Normal,Slow,0.9667,0.1826,4760.4662,30.2339,4700.8575,4852.7678,0.9091,0.0175,0.0909,0.0175
100000,0.05,Panic,Fast,0.1,0.3051,4784.026,195.6693,4463.8805,5195.6334,0.879,0.0311,0.121,0.0311
100000,0.05,Panic,Moderate,0.5,0.5085,4774.3699,138.8228,4400.0407,5006.6255,0.9148,0.0269,0.0852,0.0269
100000,0.05,Panic,Slow,0.6667,0.4795,5386.7486,883.1013,4349.6397,8852.08,0.9107,0.0547,0.0893,0.0547
100000,0.1,Normal,Fast,0.0,0.0,9094.4434,17.8464,9064.5932,9131.1633,0.8855,0.002,0.1145,0.002
