Title,URL,Published Date,Score
A Stablecoin That's Actually Stable: A Portfolio Optimization Approach,https://www.sciencedirect.com/science/article/pii/S1572308925000877,2025-08-28T00:00:00.000Z,0
"Stablecoins: Fundamentals, Emerging Issues, and Open Challenges",https://arxiv.org/html/2507.13883v1,2025-07-18T00:00:00.000Z,0
The stablecoin moment - State Street,https://www.statestreet.com/ca/en/insights/stablecoin-moment,2025-08-28T00:00:00.000Z,0
"Algorithmic Stablecoins: Mechanisms, Risks, and Lessons from the Fall of TerraUSD",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5092827,2025-01-11T00:00:00.000Z,0
Stablecoins and Credit Risk: When Do They Stop Being Stable?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5053349,2024-12-12T00:00:00.000Z,0
[PDF] STABLECOIN SUMMER | Goldman Sachs,https://www.goldmansachs.com/pdfs/insights/goldman-sachs-research/stablecoin-summer/TopOfMind.pdf,2025-08-19T00:00:00.000Z,0
From blockchain to bank: How stablecoins are reshaping global ...,https://www.mizuhogroup.com/americas/insights/2025/07/from-blockchain-to-bank-how-stablecoins-are-reshaping-global-money-movement.html,2025-07-25T00:00:00.000Z,0
Stablecoins The new generation of financial infrastructure,https://privatebank.barclays.com/insights/stablecoins-the-new-generation-of-financial-infrastructure-07-2025/,2025-07-23T00:00:00.000Z,0
The state of stablecoins in cross-border payments: 2025 primer,https://www.fxcintel.com/research/reports/ct-state-of-stablecoins-cross-border-payments-2025,2025-07-17T00:00:00.000Z,0
Stablecoins payments infrastructure for modern finance - McKinsey,https://www.mckinsey.com/industries/financial-services/our-insights/the-stable-door-opens-how-tokenized-cash-enables-next-gen-payments,2025-07-21T00:00:00.000Z,0
