Title,Authors,Published,Summary,Link
Leafwise cohomological expression of dynamical zeta functions on   foliated dynamical systems,Junhyeong Kim,2019-12-04T18:23:23Z,"A Riemmanian foliated dynamical system of 3-dimension $(\mathrm{RFDS}^{3})$ is a closed Riemannian 3-manifold with additional structures: foliation, dynamical system. In the context of arithmetic topology, it is a geometric/analytic analogue of an arithmetic scheme with a conjectural dynamical system suggested by C. Deninger. In this paper, we show leafwise cohomological expression of dynamical zeta function on a Riemannian foliated dynamical system.",http://arxiv.org/abs/1912.02159v1
Graph covers of higher dimensional dynamical systems,Przemysław Kucharski,2020-11-14T13:21:10Z,We generalize the notion of an inverse sequence of graph covers from the zero-dimensional dynamical systems to any dynamical system.,http://arxiv.org/abs/2011.07299v2
Switched flow systems: pseudo billiard dynamics,"Michael Blank, Leonid Bunimovich",2004-08-18T10:19:42Z,"We study a class of dynamical systems which generalizes and unifies some models arising in the analysis of switched flow systems in manufacturing. General properties of these dynamical systems, called pseudo billiards, as well as some their perturbations are discussed.",http://arxiv.org/abs/math/0408241v1
$p$-adic discrete dynamical systems and their applications in physics   and cognitive sciences,Andrei Khrennikov,2004-02-23T15:59:26Z,"This review is devoted to dynamical systems in fields of $p$-adic numbers: origin of $p$-adic dynamics in $p$-adic theoretical physics (string theory, quantum mechanics and field theory, spin glasses), continuous dynamical systems and discrete dynamical systems. The main attention is paid to discrete dynamical systems - iterations of maps in the field of $p$-adic numbers (or their algebraic extensions): conjugate maps, ergodicity, random dynamical systems, behaviour of cycles, holomorphic dynamics. dynamical systems in finite fields. We also discuss applications of $p$-adic discrete dynamical systems to cognitive sciences and psychology.",http://arxiv.org/abs/nlin/0402042v1
Unified dynamical systems on coarse spaces,Najmeh Khajoei,2021-05-06T14:47:25Z,"In this paper, we introduce a new class of dynamical systems on a coarse space with coarse time called, coarse dynamical system. The notion of coarse conjugacy is studied from coarse geometry point of view. Coarse orbits as invariant sets under coarse conjugacy are deduced. It is Shown that the coproduct of two coarse dynamical systems is a coarse dynamical system. Finally, we define set value coarse dynamical systems and prove if two coarse dynamical systems are coarse conjugate, then their corresponding set value coarse dynamical systems are coarse conjugate",http://arxiv.org/abs/2105.02729v1
Smooth linearization of contractive random dynamical systems in   continuous time,Iryna Vasylieva,2025-06-23T18:44:26Z,We establish that uniformly exponentially stable random dynamical systems on the half line have equivalent dynamics through a $C^m-$ conjugacy. This result was obtained for random differential equations as well as for random dynamical systems with a uniformly exponentially stable linear part.,http://arxiv.org/abs/2506.19034v1
Vector-valued Almost Sure Invariance Principle For Non-stationary   Dynamical Systems,Yaofeng Su,2019-03-23T05:07:59Z,"We prove vector-valued almost sure invariance principle (VASIP) for nonstationary dynamical systems, under assumptions of correlation decay and variance growth. Applications include VASIP for non-stationary (non)uniformly expanding dynamical systems, quenched VASIP for random dynamical systems. In particular, VASIP is satisfied for corresponding stationary dynamical systems.",http://arxiv.org/abs/1903.09763v2
Log-Linear Dynamical Systems,Steven Diamond,2020-01-10T20:12:21Z,"We present log-linear dynamical systems, a dynamical system model for positive quantities. We explain the connection to linear dynamical systems and show how convex optimization can be used to identify and control log-linear dynamical systems. We illustrate system identification and control with an example from predator-prey dynamics. We conclude by discussing potential applications of the proposed model.",http://arxiv.org/abs/2001.03649v3
Shadowing in CR-Dynamical Systems,Andrew Wood,2025-05-29T04:50:02Z,"A CR-dynamical system is a pair $(X, G)$, where $X$ is a non-empty compact Hausdorff space with uniformity $\mathscr{U}$ and $G$ is a closed relation on $X$. In this paper we introduce the $(i, j)$-shadowing properties in CR-dynamical systems, which generalises the shadowing property from topological dynamical systems $(X, f)$. This extends previous work on shadowing in set-valued dynamical systems.",http://arxiv.org/abs/2505.23089v1
Entry and Return times distribution,Nicolai T A Haydn,2013-06-19T10:05:16Z,This is a review article on the distributions of entry and return times in dynamical systems which discusses recent results for systems of positive entropy.,http://arxiv.org/abs/1306.4475v1
Fractal trajectories of the dynamical system,Marek Berezowski,2016-04-08T00:58:38Z,"The scope of the paper is a theoretical analysis of the dynamical system, the model of which was reduced to Weierstrasse function. A fractal structure of the trajectory was proved and the entropy of the system information designated.",http://arxiv.org/abs/1604.03152v1
On the conjugacy class of the Fibonacci dynamical system,"Michel Dekking, Mike Keane",2016-08-16T05:22:34Z,We characterize the symbolical dynamical systems which are topologically isomorphic to the Fibonacci dynmaical system. We prove that there are infinitely many injective primitive substitutions generating a dynamical system in the Fibonacci conjugacy class. In this class there are infinitely many dynamical systems not generated by a substitution. An example is the system generated by doubling the 0's in the infinite Fibonacci word.,http://arxiv.org/abs/1608.04487v1
An Abstract Category of Dynamical Systems,James Schmidt,2023-12-14T21:05:40Z,A notion of time is fundamental in the study of dynamical systems. Time arises as a standalone dynamical system and also in solutions or trajectories as a special kind of map between systems. We characterize time by a universal property and use universality to motivate an abstract definition for categories of dynamical systems. We propose this definition as guidance in concrete instantiations for other kinds of systems.,http://arxiv.org/abs/2401.09427v1
Reviving networked multi-dimensional dynamical systems,"Nan Dong, An Zeng, Honggang Li",2025-02-20T13:38:56Z,"From gene regulatory networks to mutualistic networks, controlling a single node in the network topology can transform these complex dynamical systems from undesirable states to desirable ones. Corresponding methods have been well-studied in one-dimensional dynamical systems. However, many practical dynamical systems require description by multi-dimensional dynamical systems, such as the mutualistic symbiotic systems formed by flowering plants and pollinating insects. Existing one-dimensional methods cannot handle the cases of multi-dimensional dynamical systems. Based on this, we propose a method to control a single node to activate network connections in multi-dimensional dynamical systems. In such systems, the changes of each node are described by multiple nonlinear differential equations. All remaining nodes are stratified according to the shortest path to the controlled node, thereby reducing the dimensionality of the system. Such a large-scale dynamical system can ultimately be replaced by a very simple system. By analyzing the reduced-dimensional system, we can predict the extent of control needed to restore the system state. We apply this method to a wide range of fields, achieving activation of various real multidimensional complex dynamical systems.",http://arxiv.org/abs/2502.15837v1
On Raw Coding of Chaotic Dynamics,Michael Blank,2006-03-24T13:15:16Z,We study raw coding of trajectories of a chaotic dynamical system by sequences of elements from a finite alphabet and show that there is a fundamental constraint on differences between codes corresponding to different trajectories of the dynamical system.,http://arxiv.org/abs/math/0603575v1
Dynamical systems with a prescribed attracting set and applications to   conservative dynamics,Razvan M. Tudoran,2016-06-05T10:01:55Z,"We provide an explicit method to construct dynamical systems which admit an a-priori prescribed attracting set. As application, we provide a method to construct perturbations of conservative dynamical systems, which admit an a-priori prescribed leafwise attracting set.",http://arxiv.org/abs/1606.01488v3
Parrondo's dynamic paradox for the stability of non-hyperbolic fixed   points,"Anna Cima, Armengol Gasull, Víctor Mañosa",2017-01-20T14:54:19Z,"We show that for periodic non-autonomous discrete dynamical systems, even when a common fixed point for each of the autonomous associated dynamical systems is repeller, this fixed point can became a local attractor for the whole system, giving rise to a Parrondo's dynamic type paradox.",http://arxiv.org/abs/1701.05816v1
Hamilton Dynamics on Clifford Kaehler Manifolds,Mehmet Tekkoyun,2009-02-24T06:53:51Z,"This paper presents Hamilton dynamics on Clifford Kaeler manifolds. In the end, the some results related to Clifford Kaehler dynamical systems are also discussed.",http://arxiv.org/abs/0902.4076v1
Newtonian dynamical systems admitting normal blow-up of points,Ruslan Sharipov,2000-08-11T10:06:39Z,"Class of Newtonian dynamical systems admitting normal blow-up of points in Riemannian manifolds is considered. Geometric interpretation for weak normality condition, which arose earlier in the theory of dynamical systems admitting the normal shift of hypersurfaces, is found.",http://arxiv.org/abs/math/0008081v1
A note on arithmetic topology and dynamical systems,Christopher Deninger,2002-04-23T14:35:17Z,We discuss analogies between the etale site of arithmetic schemes and the algebraic topology of dynamical systems. The emphasis is on Lefschetz numbers. We also discuss similarities between infinite primes in arithmetic and fixed points of dynamical systems.,http://arxiv.org/abs/math/0204274v1
Universal formats for nonlinear dynamical systems,Krzysztof Kowalski,1998-01-15T08:17:58Z,It is demonstrated that very general nonlinear dynamical systems covering all cases arising in practice can be brought down to rate equations of chemical kinetics,http://arxiv.org/abs/solv-int/9801020v1
How much information about a dynamical system do its recurrences   contain?,"Geoffrey Robinson, Marco Thiel",2007-06-27T14:05:53Z,"We show that, under suitable assumptions, Poincare recurrences of a dynamical system determine its topology in phase space. Therefore, dynamical systems with the same recurrences are topologically equivalent.",http://arxiv.org/abs/0706.4032v2
