Title                                                                                                                                                                   , Authors                                                                                                                                                                           , Published           , Summary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Link
Reducing the Volatility of Cryptocurrencies -- A Survey of Stablecoins                                                                                                  , "Ayten Kahya, Bhaskar Krishnamachari, Seokgu Yun"                                                                                                                                 , 2021-03-01T22:54:20Z, "In the wake of financial crises, stablecoins are gaining adoption among digital currencies. We discuss how stablecoins help reduce the volatility of cryptocurrencies by surveying different types of stablecoins and their stability mechanisms. We classify different approaches to stablecoins in three main categories i) fiat or asset backed, ii) crypto-collateralized and iii) algorithmic stablecoins, giving examples of concrete projects in each class. We assess the relative tradeoffs between the different approaches. We also discuss challenges associated with the future of stablecoins and their adoption, their adoption and point out future research directions."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , http://arxiv.org/abs/2103.01340v1
"From Tether to Libra: Stablecoins, Digital Currency and the Future of   Money"                                                                                         , "Alexander Lipton, Aetienne Sardon, Fabian Schär, Christian Schüpbach"                                                                                                            , 2020-05-26T18:13:46Z, "This paper provides an overview on stablecoins and introduces a novel terminology to help better identify stablecoins with truly disruptive potential. It provides a compact definition for stablecoins, identifying the unique features that make them distinct from previously known payment systems. Furthermore, it surveys the different use cases for stablecoins as well as the underlying economic incentives for creating them. Finally, it outlines critical regulatory considerations that constrain stablecoins and summarizes key factors that are driving their rapid development."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , http://arxiv.org/abs/2005.12949v1
Assessing Stablecoin Credit Risks                                                                                                                                       , "Yuval Boneh, Ethan Jones"                                                                                                                                                        , 2024-11-21T00:21:09Z, "This paper delves into the spectrum of credit risks associated with decentralized stablecoin issuance, ranging from overcollateralized lending to business-to-business credit. It examines the mechanisms, risks, and mitigation strategies at each layer, highlighting the potential for scaling decentralized stablecoins while ensuring systemic health."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , http://arxiv.org/abs/2411.13762v1
"Understand Volatility of Algorithmic Stablecoin: Modeling, Verification   and Empirical Analysis"                                                                      , "Wenqi Zhao, Hui Li, Yuming Yuan"                                                                                                                                                 , 2021-01-21T03:39:18Z, "An algorithmic stablecoin is a type of cryptocurrency managed by algorithms (i.e., smart contracts) to dynamically minimize the volatility of its price relative to a specific form of asset, e.g., US dollar. As algorithmic stablecoins have been growing rapidly in recent years, they become much more volatile than expected. In this paper, we took a deep dive into the core of algorithmic stablecoins and shared our answer to two fundamental research questions, i.e., Are algorithmic stablecoins volatile by design? Are they volatile in practice? Specifically, we introduced an in-depth study on three popular types of algorithmic stablecoins and developed a modeling framework to formalize their key design protocols. Through formal verification, the framework can identify critical conditions under which stablecoins might become volatile. Furthermore, we performed a systematic empirical analysis on real transaction activities of the Basis Cash stablecoin to relate theoretical possibilities to market observations. Lastly, we highlighted key design decisions for future development of algorithmic stablecoins."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , http://arxiv.org/abs/2101.08423v1
Silkswap: An asymmetric automated market maker model for stablecoins                                                                                                    , "Nicola Cantarutti, Alex Harker, Carter Woetzel"                                                                                                                                  , 2023-01-21T21:30:22Z, "Silkswap is an automated market maker model designed for efficient stablecoin trading with minimal price impact. The original purpose of Silkswap is to facilitate the trading of fiat-pegged stablecoins with the stablecoin Silk, but it can be applied to any pair of stablecoins. The Silkswap invariant is a hybrid function that generates an asymmetric price impact curve. We present the derivation of the Silkswap model and its mathematical properties. We also compare different numerical methods used to solve the invariant equation. Finally, we compare our model with the well-known Curve Finance model."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , http://arxiv.org/abs/2302.07822v1
The four types of stablecoins: A comparative analysis                                                                                                                   , "Matthias Hafner, Marco Henriques Pereira, Helmut Dietl, Juan Beccuti"                                                                                                            , 2023-08-14T10:03:48Z, "Stablecoins have gained significant popularity recently, with their market cap rising to over $180 billion. However, recent events have raised concerns about their stability. In this paper, we classify stablecoins into four types based on the source and management of collateral and investigate the stability of each type under different conditions. We highlight each type's potential instabilities and underlying tradeoffs using agent-based simulations. The results emphasize the importance of carefully evaluating the origin of a stablecoin's collateral and its collateral management mechanism to ensure stability and minimize risks. Enhanced understanding of stablecoins should be informative to regulators, policymakers, and investors alike."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , http://arxiv.org/abs/2308.07041v1
Incentivized Third Party Collateralization for Stablecoins                                                                                                              , "Souradeep Das, Revathi Venkataraman"                                                                                                                                             , 2023-09-19T19:09:52Z, "Stablecoins, which are primarily intended to function as a global reserve of value are insubstantial in their design and present many failure points. The primary mechanism to enable these coins to hold on to a fixed value is by backing them with collateral. Fiat collateralized stablecoins require users to trust a centralized entity, which breaks the total concept of decentralization. Crypto collateralized stablecoins have issues involving high collateral requirements and introduces risks of auto-liquidation. In this paper we aim to propose an alternative architecture for the creation of a functional and secure stablecoin."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , http://arxiv.org/abs/2309.11521v1
What is Stablecoin?: A Survey on Its Mechanism and Potential as   Decentralized Payment Systems                                                                         , "Makiko Mita, Kensuke Ito, Shohei Ohsawa, Hideyuki Tanaka"                                                                                                                        , 2019-06-14T06:07:48Z, "Our study provides a survey on how existing stablecoins-- cryptocurrencies aiming at price stabilization-- peg their value to other assets, from the perspective of Decentralized Payment Systems (DPSs). This attempt is important because there has been no preceding surveys focusing on the stablecoin as DPSs, i.e., the one aiming at not only price stabilization but also decentralization. Specifically, we first classified existing stablecoins into four types according to their collaterals (fiat, commodity, crypto, and non-collateralized) and pointed out the high potential of non-collateralized stablecoins as DPSs; then, we further classified existing non-collateralized stablecoins into two types according to their intervention layers (protocol, application) and confirmed details of their representative mechanisms. Utilizing concepts such as Quantity Theory of Money (QTM), Tobin tax, and speculative attack, our survey revealed the status quo where, despite the high potential of non-collateralized stablecoins, they have no standard mechanism to achieve the stablecoin for practical DPSs."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , http://arxiv.org/abs/1906.06037v2
What Drives the (In)stability of a Stablecoin?                                                                                                                          , "Yujin Kwon, Kornrapat Pongmala, Kaihua Qin, Ariah Klages-Mundt, Philipp Jovanovic, Christine Parlour, Arthur Gervais, Dawn Song"                                                 , 2023-06-15T03:08:35Z, "In May 2022, an apparent speculative attack, followed by market panic, led to the precipitous downfall of UST, one of the most popular stablecoins at that time. However, UST is not the only stablecoin to have been depegged in the past. Designing resilient and long-term stable coins, therefore, appears to present a hard challenge.   To further scrutinize existing stablecoin designs and ultimately lead to more robust systems, we need to understand where volatility emerges. Our work provides a game-theoretical model aiming to help identify why stablecoins suffer from a depeg. This game-theoretical model reveals that stablecoins have different price equilibria depending on the coin's architecture and mechanism to minimize volatility. Moreover, our theory is supported by extensive empirical data, spanning $1$ year. To that end, we collect daily prices for 22 stablecoins and on-chain data from five blockchains including the Ethereum and the Terra blockchain."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , http://arxiv.org/abs/2307.11754v2
"JANUS: A Stablecoin 3.0 Blueprint for Navigating the Stablecoin Trilemma   Through Dual-Token Design, Multi-Collateralization, Soft Peg, and AI-Driven   Stabilization", Stylianos Kampakis                                                                                                                                                                , 2024-12-24T05:37:13Z, "This paper introduces JANUS, a Stablecoin 3.0 protocol designed to address the stablecoin trilemma--simultaneously improving decentralization (D), capital efficiency (E), and safety-stability (S). Building upon insights from previous stablecoin generations, JANUS leverages a dual-token system (Alpha and Omega), integrates crypto-assets and real-world assets (RWAs), employs a soft-peg mechanism, and utilizes AI-driven stabilization.   We provide a comprehensive theoretical framework, including formal definitions of D, E, and S, along with equilibrium existence proofs and analogies drawn from international trade and open-economy macroeconomics. By introducing a second token backed by external yield, JANUS breaks from ponzinomic dynamics and creates a more robust foundation. Multi-collateralization and a soft peg enable controlled price oscillations, while AI-driven parameter adjustments maintain equilibrium.   Through these innovations, JANUS aims to approach the center of the stablecoin trilemma, offering a globally resilient, inflation-adjusted, and decentralized stablecoin ecosystem bridging DeFi and TradFi. The main body presents a high-level overview of the trilemma and JANUS's key features, while the Appendix provides more formal mathematical treatments, including rigorous metrics for decentralization, capital efficiency, and stability, as well as the optimization challenges inherent in the trilemma."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , http://arxiv.org/abs/2412.18182v1
